species,Organism_Groups,Size(Mb),Chromosomes,Organelles,Plasmids,Assemblies,web_local
Clonorchis sinensis,Eukaryota;Animals;Flatworms,562.769,0,0,0,2,web
Dibothriocephalus latus,Eukaryota;Animals;Flatworms,531.434,0,0,0,1,web
Dicrocoelium dendriticum,Eukaryota;Animals;Flatworms,547.921,0,0,0,1,web
Dugesia japonica,Eukaryota;Animals;Flatworms,854.187,0,0,0,1,web
Echinococcus canadensis,Eukaryota;Animals;Flatworms,115.025,0,0,0,1,web
Echinococcus multilocularis,Eukaryota;Animals;Flatworms,114.963,0,0,0,1,web
Echinococcus oligarthrus,Eukaryota;Animals;Flatworms,105.959,0,0,0,1,web
Fasciola gigantica,Eukaryota;Animals;Flatworms,1127.75,0,0,0,2,web
Fasciola hepatica,Eukaryota;Animals;Flatworms,1203.65,0,0,0,4,web
Fasciolopsis buski,Eukaryota;Animals;Flatworms,748.158,0,0,0,1,web
Girardia tigrina,Eukaryota;Animals;Flatworms,1428.15,0,0,0,1,web
Gyrodactylus bullatarudis,Eukaryota;Animals;Flatworms,84.3469,0,0,0,1,web
Gyrodactylus salaris,Eukaryota;Animals;Flatworms,67.3807,0,0,0,1,web
Hydatigera taeniaeformis,Eukaryota;Animals;Flatworms,103.665,0,0,0,1,web
Hymenolepis diminuta,Eukaryota;Animals;Flatworms,177.348,0,0,0,3,web
Hymenolepis microstoma,Eukaryota;Animals;Flatworms,168.943,6,1,0,1,web
Macrostomum lignano,Eukaryota;Animals;Flatworms,764.411,0,0,0,2,web
Mesocestoides corti,Eukaryota;Animals;Flatworms,117.182,0,0,0,1,web
Opisthorchis felineus,Eukaryota;Animals;Flatworms,679.246,0,0,0,1,web
Opisthorchis viverrini,Eukaryota;Animals;Flatworms,620.453,0,0,0,2,web
Paragonimus heterotremus,Eukaryota;Animals;Flatworms,841.211,0,0,0,1,web
Paragonimus westermani,Eukaryota;Animals;Flatworms,922.85,0,1,0,1,web
Protopolystoma xenopodis,Eukaryota;Animals;Flatworms,617.345,0,0,0,1,web
Rodentolepis nana,Eukaryota;Animals;Flatworms,162.944,0,0,0,1,web
Schistocephalus solidus,Eukaryota;Animals;Flatworms,539.425,0,0,0,1,web
Schistosoma bovis,Eukaryota;Animals;Flatworms,373.478,0,1,0,1,web
Schistosoma curassoni,Eukaryota;Animals;Flatworms,344.202,0,0,0,1,web
Schistosoma haematobium,Eukaryota;Animals;Flatworms,375.894,0,0,0,1,web
Schistosoma japonicum,Eukaryota;Animals;Flatworms,369.901,0,0,0,2,web
Schistosoma mansoni,Eukaryota;Animals;Flatworms,364.538,8,1,0,1,web
Schistosoma margrebowiei,Eukaryota;Animals;Flatworms,367.397,0,0,0,1,web
Schistosoma mattheei,Eukaryota;Animals;Flatworms,340.818,0,0,0,1,web
Schmidtea mediterranea,Eukaryota;Animals;Flatworms,942.042,0,0,0,4,web
Sparganum proliferum,Eukaryota;Animals;Flatworms,653.387,0,0,0,1,web
Spirometra erinaceieuropaei,Eukaryota;Animals;Flatworms,1258.72,0,0,0,1,web
Taenia asiatica,Eukaryota;Animals;Flatworms,168.679,0,0,0,2,web
Taenia multiceps,Eukaryota;Animals;Flatworms,240.611,7,1,0,1,web
Taenia saginata,Eukaryota;Animals;Flatworms,169.104,0,0,0,1,web
Taenia solium,Eukaryota;Animals;Flatworms,129.811,0,0,0,3,web
Trichobilharzia regenti,Eukaryota;Animals;Flatworms,701.762,0,0,0,1,web
Echinococcus granulosus,Eukaryota;Animals;Flatworms,110.838,0,0,0,1,web
Echinostoma caproni,Eukaryota;Animals;Flatworms,834.556,0,0,0,1,web
Amynthas corticis,Eukaryota;Animals;Other Animals,1017.22,0,0,0,2,web
Capitella teleta,Eukaryota;Animals;Other Animals,333.283,0,0,0,1,web
Helobdella robusta,Eukaryota;Animals;Other Animals,235.376,0,0,0,1,web
Hirudo medicinalis,Eukaryota;Animals;Other Animals,187.547,0,0,0,2,web
Hydroides elegans,Eukaryota;Animals;Other Animals,1026.05,0,0,0,1,web
Eisenia fetida,Eukaryota;Animals;Other Animals,1471.98,0,0,0,2,web
Lamellibrachia luymesi,Eukaryota;Animals;Other Animals,687.706,0,0,0,1,web
Lottia gigantea,Eukaryota;Animals;Other Animals,359.506,0,0,0,1,web
Lymnaea stagnalis,Eukaryota;Animals;Other Animals,833.229,0,0,0,1,web
Rotaria macrura,Eukaryota;Animals;Other Animals,234.715,0,0,0,2,web
Adineta ricciae,Eukaryota;Animals;Other Animals,174.494,0,0,0,2,web
Daphnia pulex,Eukaryota;Animals;Other Animals,189.551,0,0,0,2,web
Drosophila melanogaster,Eukaryota;Animals;Insects,143.726,7,1,0,26,web
Tribolium castaneum,Eukaryota;Animals;Insects,165.944,10,1,0,1,web
Brachionus plicatilis,Eukaryota;Animals;Other Animals,106.939,0,0,0,3,web
Kapentagyrus tanganicanus,,,,,,,data/assemblies/Ktan.PLATANUS.min1000.fasta
Dictyocotyle coeliaca,,,,,,,data/assemblies/Dcoe_PLATANUS.scaffolds.min500.fasta
Leptocotyle minor,,,,,,,data/assemblies/Lmin.contigs.fasta
Diclidophora denticulata,,,,,,,data/assemblies/Dden.PLATANUS.min1000.filtered.fasta

